ID,Idade,Sexo,InstEnsi,Jogou,Console,TDeUso,Prazer_1,Prazer_2,Prazer_3,Prazer_4,Prazer_5,Prazer_6,Prazer_7,Prazer_8,Facil_1,Facil_2,Facil_3,Facil_4,Facil_5,Facil_6,Utilid_1,Utilid_2,Utilid_3,Utilid_4,Desejo_1,Desejo_2,Desejo_3,Desejo_4,Intens_1,Intens_2,Intens_3,UsoAt_1,UsoAt_2,UsoLik_1,UsoLik_2
1,21,1,1,2,0,6,4,3,4,3,4,4,4,3,5,2,3,3,3,2,3,4,3,4,2,3,4,3,2,4,4,7,0,4,1
2,19,1,1,3,0,1,5,5,3,4,5,5,5,5,1,4,5,5,5,5,5,5,4,4,4,4,4,5,5,1,3,3,15,3,3
3,22,1,0,2,0,6,4,2,1,1,4,4,5,5,1,3,3,3,5,5,1,4,5,3,1,1,1,1,1,1,1,0,0,1,1
4,21,0,1,1,0,3,5,5,5,3,2,1,3,3,1,1,1,5,5,4,1,1,1,1,5,5,1,3,5,5,3,3,15,3,3
5,25,1,1,1,0,10,4,4,3,2,3,3,4,3,3,3,4,3,3,4,3,3,4,3,3,3,3,2,3,4,2,1,0,2,1
6,25,1,0,1,0,12,4,3,5,5,4,4,4,3,2,2,3,4,4,4,3,2,4,3,4,5,5,5,4,4,4,7,0,4,1
7,23,1,0,2,0,12,4,2,5,4,5,5,5,5,1,3,5,4,5,5,4,3,5,4,4,5,3,4,5,2,4,7,0,4,1
8,17,1,1,2,0,5,5,4,5,3,4,4,4,5,2,2,5,2,4,4,2,4,3,3,4,4,4,4,4,4,5,10,0,5,1
9,23,1,1,1,0,10,5,3,5,4,5,4,3,3,3,5,4,5,5,3,5,5,5,4,5,5,4,4,4,1,5,10,0,5,1
10,19,1,1,2,0,11,5,1,5,3,4,5,5,3,1,3,5,4,5,5,3,4,5,4,2,4,4,5,5,2,5,10,0,5,1
11,22,1,1,1,0,6,4,3,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,1,3,2,1,2,1,0,2,1
12,24,1,1,1,0,3,4,3,2,2,3,3,3,4,3,3,4,4,3,4,3,2,3,1,2,2,1,2,2,2,1,0,0,1,1
13,18,1,1,2,0,6,4,2,4,3,4,5,5,4,1,2,5,3,5,5,3,5,5,3,2,3,3,4,4,1,3,3,15,3,3
14,18,1,1,1,0,7,4,2,4,4,4,4,5,3,2,4,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,7,0,4,1
15,18,1,1,1,0,5,4,4,2,2,3,4,4,2,2,4,4,4,3,5,3,4,4,2,2,4,4,4,2,3,2,1,0,2,1
16,26,1,1,1,0,5.7,5,5,3,1,4,5,3,5,3,4,4,1,3,3,1,4,4,1,4,3,4,4,1,1,1,0,0,1,1
17,22,0,1,2,0,8,5,4,5,3,4,5,5,3,2,2,4,3,4,5,3,3,4,3,4,4,5,5,3,4,3,3,15,3,3
18,19,1,1,2,0,6,4,4,5,2,5,5,3,2,2,4,3,4,4,5,2,4,4,3,4,4,4,5,3,4,4,7,0,4,1
19,22,1,1,1,0,6,3,2,1,2,4,4,4,4,1,4,3,2,3,5,3,5,5,2,2,4,4,5,3,1,2,1,0,2,1
20,23,0,1,2,0,5,5,3,4,2,3,4,3,3,2,1,4,3,5,4,1,5,4,2,4,2,3,3,3,1,1,0,0,1,1
21,21,1,0,2,0,1,3,1,1,1,4,5,4,4,5,5,2,5,2,4,3,4,4,1,1,4,4,2,1,1,1,0,0,1,1
22,22,1,1,2,0,15,4,1,5,4,5,5,5,4,1,4,4,3,5,5,4,5,5,3,5,5,5,5,5,5,5,10,0,5,1
23,21,0,0,3,0,1,3,1,1,1,4,5,4,4,5,5,2,5,2,4,3,4,4,1,1,4,4,2,1,1,1,0,0,1,1
24,24,1,0,1,0,1,5,4,2,2,4,4,4,5,2,3,4,4,4,3,2,3,4,2,2,2,3,4,1,2,1,0,0,1,1
25,31,1,1,3,0,9,4,3,4,1,2,3,3,1,2,4,5,4,5,5,1,3,3,4,4,1,5,4,3,1,1,0,5,1,2
26,20,1,1,3,0,7,5,4,5,3,5,5,5,3,1,3,3,2,5,5,2,2,4,2,3,3,4,4,3,1,4,0,0,1,1
27,24,0,1,2,0,4,4,5,5,5,5,5,5,3,2,4,5,5,5,5,4,3,5,1,5,5,5,5,5,4,4,0,0,1,1
28,23,1,1,2,0,0,4,3,4,3,4,5,5,3,2,3,4,4,4,5,3,3,4,4,2,3,3,4,3,2,3,0,0,1,1
29,24,1,1,3,0,7,1,1,3,2,5,5,5,1,1,3,4,2,4,5,3,5,4,3,1,4,1,2,3,3,4,2,5,2,2
30,21,1,1,2,0,4,5,5,5,4,5,5,5,3,1,4,4,3,4,5,5,5,5,5,5,5,2,5,4,1,5,0,0,1,1
31,25,1,0,1,0,15,5,3,4,2,4,3,5,2,2,2,4,2,3,3,3,3,4,3,4,4,3,4,3,1,2,1,3,2,2
32,19,0,1,2,0,6,4,2,5,1,5,5,5,3,3,4,2,3,5,5,4,2,5,2,3,4,5,5,5,2,5,7,14,4,3
33,22,1,1,1,0,4,5,3,2,2,3,4,4,1,3,5,4,4,2,5,2,3,4,3,3,3,3,4,4,3,2,6,8,4,2
34,19,1,1,1,0,10,3,5,5,2,2,3,2,1,1,4,4,1,4,5,3,5,5,5,2,3,4,4,5,5,5,7,15,4,3
35,23,1,1,1,0,4,4,5,4,3,2,4,3,3,4,5,5,4,2,3,3,5,4,2,4,2,4,5,2,1,1,6,20,4,3
36,22,1,1,2,0,10,3,1,3,3,3,3,5,3,1,3,4,1,5,4,3,4,4,1,2,2,1,2,2,1,1,0,0,1,1
37,23,1,0,1,0,0,5,5,5,5,5,5,3,1,1,1,5,4,4,5,4,3,5,4,5,5,3,3,5,1,5,0,0,1,1
38,23,1,1,1,0,2,4,4,4,2,4,5,5,3,1,4,5,3,4,5,4,4,5,3,3,5,5,5,5,1,4,4,25,3,4
39,19,1,1,2,0,6,5,5,5,5,5,5,5,3,4,5,5,3,5,5,2,5,5,3,5,5,5,5,3,5,4,4,20,3,3
40,18,1,1,3,0,2,5,4,5,3,4,5,5,4,1,2,5,4,4,5,5,5,5,3,3,4,4,3,3,1,4,1,4,2,2
41,20,1,0,3,0,1,4,3,1,1,3,3,2,4,4,4,3,4,3,3,2,4,4,3,3,2,4,4,2,1,1,12,4,5,2
42,18,1,0,1,0,0,4,4,3,1,1,2,1,1,1,2,4,1,4,3,1,2,3,3,1,4,3,2,4,2,1,1,1,2,2
43,21,1,1,2,0,11,5,2,5,5,5,5,4,2,1,1,3,5,5,5,4,5,5,3,5,5,5,5,5,5,5,6,14,4,3
44,19,1,1,2,0,8,4,5,5,4,4,3,2,4,1,2,5,4,4,4,1,4,4,2,5,4,4,4,4,2,2,3,7,3,2
45,19,1,0,1,0,1,5,2,3,1,3,5,5,3,3,3,5,1,5,3,2,5,5,1,3,5,5,3,4,1,5,7,21,4,4
46,22,1,1,1,0,7,5,5,5,1,3,3,5,2,1,5,4,2,4,5,1,1,1,1,5,1,1,4,4,4,1,7,14,4,3
47,19,1,1,2,0,5,4,3,5,3,5,5,5,5,2,3,5,4,4,4,3,3,5,4,5,5,5,5,5,3,4,0,0,1,1
48,18,1,1,3,0,10,5,5,5,4,5,5,5,5,1,3,5,3,4,5,3,5,5,1,3,5,5,5,5,3,3,3,6,3,2
49,20,1,1,1,0,9,5,5,5,4,5,5,5,2,2,4,4,4,4,5,5,5,5,4,5,5,4,5,5,4,5,6,12,4,3
50,22,1,1,1,0,2,5,4,5,2,3,3,5,1,2,4,5,5,4,5,3,5,5,5,2,4,5,5,3,2,5,0,0,1,1
51,23,1,1,1,0,7,4,2,4,2,4,4,4,4,2,2,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,1,2,2,2
52,17,1,0,2,0,0,5,1,1,1,1,1,1,1,1,5,5,3,5,5,1,3,3,3,1,1,1,1,1,1,1,0,0,1,1
53,21,0,1,3,0,4,5,3,5,5,5,5,5,2,1,3,4,4,3,5,5,4,5,4,5,5,4,5,5,3,4,0,0,1,1
54,26,1,1,1,0,5,5,4,4,4,3,5,5,1,2,2,5,3,5,5,3,1,4,2,3,3,5,5,3,5,5,0,0,1,1
55,24,1,1,2,0,7,4,3,3,1,4,4,1,2,1,1,4,1,5,5,4,2,3,4,2,2,3,3,2,1,1,0,0,1,1
56,17,0,0,1,0,12,5,3,4,4,5,5,5,2,1,3,5,2,4,5,4,5,5,3,4,5,5,5,5,1,5,3,4,3,2
57,20,1,1,3,0,1,4,3,5,3,4,5,5,4,1,2,3,4,3,4,4,4,5,2,1,2,3,4,5,1,4,5,8,3,2
58,25,1,0,1,0,0,1,1,4,3,3,5,2,5,1,4,2,3,3,4,3,1,3,2,2,2,1,5,4,2,2,5,10,3,2
59,22,1,1,2,0,7,4,3,3,2,3,3,5,5,1,2,4,3,3,3,3,2,4,1,2,3,4,3,3,1,3,1,3,2,2
60,21,0,0,3,0,11,1,1,5,5,5,5,5,4,1,3,4,4,4,5,4,4,4,4,4,4,2,4,5,3,5,5,20,3,3
61,23,1,1,2,0,7,4,4,2,2,4,5,5,4,3,2,4,2,4,4,3,4,4,3,3,4,2,4,3,2,4,1,3,2,2
62,23,1,1,2,0,10,5,4,5,4,5,5,5,4,1,4,3,4,4,5,2,4,4,3,4,4,5,5,5,1,4,1,2,2,2
63,22,1,1,2,0,2,5,4,3,2,5,5,5,2,1,4,4,5,4,5,4,3,4,4,5,5,5,5,2,2,3,3,6,3,2
64,19,1,0,2,0,1,5,3,5,2,2,2,3,3,4,3,4,2,3,4,1,1,1,1,3,1,3,3,2,1,1,0,0,1,1
65,22,1,0,1,0,0,4,2,4,2,4,3,4,2,2,2,3,2,3,4,4,2,4,2,2,3,4,2,4,2,4,0,0,1,1
66,19,1,1,2,0,10,4,4,4,4,5,5,5,3,1,4,4,4,4,5,4,4,5,3,3,4,5,5,4,2,4,6,20,4,3
67,23,1,1,1,0,8,4,2,3,2,4,3,4,3,1,2,2,3,3,2,2,3,5,2,2,3,1,4,3,1,1,0,0,1,1
68,19,1,1,2,0,2,5,4,3,2,4,4,5,3,1,2,5,3,4,5,2,4,4,2,3,3,3,4,3,1,2,0,0,1,1
69,19,1,1,2,0,1,3,3,5,2,5,3,5,3,1,2,4,3,4,3,3,3,4,1,3,5,2,3,4,1,3,7,21,4,4
70,22,1,1,3,0,7,5,2,2,1,4,4,4,1,2,2,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,5,4,3,2
71,19,1,1,2,0,6,3,2,4,1,3,4,4,5,4,4,4,3,3,5,3,4,4,3,3,4,2,4,4,1,4,1,4,2,2
72,24,1,0,3,0,0,5,4,2,1,4,4,4,3,1,4,4,4,4,1,4,2,4,2,2,4,4,4,3,1,4,0,0,1,1
73,18,1,1,1,0,5,4,3,4,4,4,4,4,2,2,3,3,4,2,3,4,4,4,3,2,3,3,3,4,3,2,3,8,3,2
74,21,1,1,2,0,9,5,4,5,4,5,5,5,2,1,2,2,4,3,5,4,4,4,3,5,5,4,5,4,5,5,7,12,4,3
75,22,0,0,2,0,1,5,5,3,2,3,3,5,5,2,2,4,2,2,5,2,2,3,2,2,3,3,3,2,1,1,0,0,1,1
76,20,1,1,2,0,6,5,3,3,3,5,5,5,3,1,1,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,25,3,4
77,23,0,1,2,0,6,3,3,3,1,3,5,5,1,1,3,4,3,4,5,2,1,2,2,3,3,2,3,3,2,2,3,3,3,2
78,23,1,0,2,0,1,5,4,2,2,4,3,5,3,2,3,4,3,4,5,4,3,4,2,2,5,2,5,2,1,4,0,0,1,1
79,19,1,1,2,0,6,4,2,4,3,4,4,5,3,2,2,3,2,3,4,2,3,3,3,2,4,3,3,4,1,3,2,6,2,2
80,19,1,1,1,0,10,5,5,5,4,5,5,4,1,3,4,4,4,2,4,4,4,4,5,5,5,5,5,4,3,4,7,21,4,4
81,19,1,1,1,0,2,5,2,1,1,5,5,5,1,4,4,4,5,3,5,3,5,5,4,4,4,2,4,3,1,4,0,6,1,2
82,25,0,1,3,0,2,5,5,5,4,4,3,4,5,3,5,4,4,4,5,2,5,4,2,4,4,4,4,3,1,4,0,0,1,1
83,20,1,1,2,0,4,5,5,4,2,5,5,5,5,3,5,5,5,5,3,1,4,5,2,4,4,3,4,1,1,1,0,0,1,1
84,22,1,1,2,0,7,5,3,4,2,4,4,5,3,2,1,4,2,5,5,3,4,5,3,4,3,2,4,3,4,3,7,21,4,4
85,22,1,1,2,0,5,5,3,2,1,2,5,5,2,2,3,5,4,4,5,5,5,5,4,2,2,3,3,2,2,1,1,1,2,2
86,21,0,1,2,0,5,4,4,2,1,5,5,3,1,1,2,1,2,3,3,1,5,1,1,1,1,2,2,2,4,3,0,0,1,1
87,21,1,1,1,0,8,5,2,4,3,4,3,3,5,1,2,4,3,4,3,4,3,5,3,3,4,2,3,5,1,4,3,2,3,2
88,20,1,1,2,0,7,4,4,3,3,3,3,5,4,3,4,4,3,3,4,2,3,3,2,3,3,2,3,3,2,2,0,0,1,1
89,22,1,1,3,0,5,4,1,3,3,4,5,4,3,2,4,4,4,3,5,4,4,4,2,3,3,4,4,1,3,3,0,0,1,1
90,25,0,0,2,0,1,5,5,2,2,2,3,4,5,1,3,5,1,5,4,2,3,3,2,1,1,3,3,1,1,1,3,3,3,2
91,22,1,1,1,0,10,5,4,5,4,5,5,5,3,1,1,4,2,5,3,2,3,4,4,4,3,3,5,5,3,4,2,4,2,2
92,19,1,1,3,0,10,5,4,5,3,3,4,5,3,1,4,4,4,5,5,5,5,5,5,5,5,1,5,5,4,4,10,6,5,2
93,20,0,1,1,0,10,4,3,3,2,4,5,5,3,2,3,5,3,2,5,4,2,5,1,3,3,2,3,4,1,2,0,0,1,1
94,25,1,1,1,0,5,5,3,4,4,3,3,2,1,2,2,3,2,3,5,3,2,3,4,4,4,2,3,2,1,3,2,4,2,2
95,23,1,1,1,0,8,5,3,5,3,4,4,3,4,3,3,5,2,4,5,4,4,3,3,4,4,4,3,4,1,4,1,1,2,2
96,20,1,0,1,0,1,4,2,5,3,4,4,4,5,1,2,5,2,4,5,1,3,4,2,3,3,5,5,3,1,3,2,3,2,2
97,19,1,0,1,0,1,5,4,4,2,3,4,4,5,2,3,4,3,4,5,3,4,5,5,5,5,4,5,4,2,4,7,3,4,2
98,20,1,1,1,0,2,5,2,5,4,3,3,5,3,1,2,4,5,4,4,4,2,5,2,4,2,4,4,4,1,4,4,4,3,2
99,23,1,1,1,0,4,5,3,3,3,4,4,4,3,2,4,4,3,5,4,4,4,4,2,3,4,3,3,4,3,3,2,4,2,2
100,18,1,1,2,0,4,4,4,5,4,5,5,5,3,2,4,4,3,4,5,4,5,5,4,4,5,3,4,4,3,4,4,15,3,3
101,18,1,1,2,0,11,5,5,5,5,3,3,4,2,1,4,3,4,4,4,5,2,4,2,3,5,3,5,5,3,5,7,14,4,3
102,24,1,1,2,0,4,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,2
103,19,1,0,2,0,10,4,3,5,5,5,5,4,1,1,3,3,4,5,5,3,4,5,3,4,4,5,5,4,2,1,7,20,4,3
104,22,1,0,2,0,0,3,2,5,4,4,2,1,1,2,4,4,2,4,4,3,4,3,3,4,2,5,4,3,3,2,0,0,1,1
105,19,1,1,1,0,10,2,1,5,1,1,1,4,1,1,5,5,3,4,5,5,2,5,5,2,4,5,5,3,4,3,2,10,2,2
106,21,1,0,1,0,1,5,5,5,3,4,5,3,3,1,5,5,5,4,5,1,3,5,3,5,4,2,5,5,1,1,2,5,2,2
107,21,1,1,2,0,10,5,4,5,5,5,4,4,3,2,5,5,5,4,5,4,5,5,2,5,3,3,5,5,5,4,7,14,4,3
108,20,1,1,1,0,7,4,3,4,4,5,5,5,4,1,3,4,4,5,5,4,4,5,3,4,5,4,5,5,1,4,2,10,2,2
109,18,1,1,2,0,6,4,2,3,2,3,4,4,3,3,3,5,4,5,4,4,5,5,2,2,4,3,4,3,3,2,2,5,2,2
110,21,1,1,2,0,2,5,5,3,3,5,5,5,3,3,2,3,2,2,5,5,5,5,3,3,5,1,5,5,1,3,1,2,2,2
111,19,1,1,2,0,13,5,4,5,4,5,5,5,4,2,4,4,4,3,5,5,4,4,2,4,4,3,4,4,1,1,2,10,2,2
112,23,1,0,1,0,0,5,2,4,2,4,4,3,3,1,1,4,2,4,4,4,3,4,2,2,2,2,4,4,2,2,0,0,1,1
113,18,1,1,2,0,5,5,3,5,4,5,5,4,4,1,3,4,4,4,4,3,5,5,4,4,5,5,5,3,4,3,2,12,2,3
114,22,1,1,2,0,2,4,2,4,1,4,4,5,4,1,1,4,1,4,2,2,2,4,2,4,5,2,5,4,3,4,1,2,2,2
115,23,1,1,2,0,8,4,2,4,4,5,5,5,3,1,4,4,4,4,5,4,2,4,5,5,4,5,5,5,4,3,0,0,1,1
116,21,0,1,1,0,5,5,3,5,4,4,4,4,4,2,4,4,5,4,4,3,5,5,3,5,4,4,5,4,3,5,2,14,2,3
117,18,0,1,1,0,3,5,5,5,4,5,5,5,3,2,4,4,2,3,5,4,5,5,4,3,3,2,4,4,1,3,3,2,3,2
118,22,1,1,2,0,10,4,4,4,3,5,5,5,3,1,5,4,4,4,5,4,4,5,5,2,4,4,4,3,2,5,0,0,1,1
119,21,1,1,2,0,3,5,4,5,4,5,5,5,3,2,4,3,4,3,5,3,5,5,3,4,5,4,5,4,3,5,4,10,3,2
120,20,0,0,1,0,2,4,3,4,2,3,4,4,5,1,4,4,4,4,4,2,3,3,2,4,4,4,4,4,4,4,3,8,3,2
121,24,1,1,2,0,4,4,3,4,3,5,5,4,5,2,3,4,4,4,2,3,3,4,3,3,4,3,4,3,1,3,4,10,3,2
122,22,1,1,1,0,3,5,5,4,2,2,3,3,5,1,4,5,3,5,5,1,1,2,3,5,5,3,5,5,1,3,5,12,3,3
123,22,0,1,2,0,6,5,4,3,2,1,1,1,1,2,4,1,4,4,5,1,3,3,2,5,4,5,5,2,5,3,0,0,1,1
124,21,1,1,1,0,2,4,3,2,1,3,3,5,4,1,3,4,2,3,4,2,4,4,3,1,2,4,3,2,2,2,0,0,1,1
125,27,1,1,2,0,6,2,1,4,1,1,4,5,1,1,3,2,3,3,5,1,1,4,1,1,4,1,3,3,1,5,3,8,3,2
126,21,1,1,2,0,8,3,1,4,1,3,4,4,3,2,3,3,2,3,4,5,5,4,3,2,4,3,2,5,1,2,2,4,2,2
127,22,1,1,2,0,10,3,3,2,1,4,4,2,3,1,5,5,3,4,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
128,18,1,0,2,0,13,4,3,4,1,4,5,5,3,1,3,1,4,4,5,2,4,4,1,3,4,4,4,3,1,4,3,6,3,2
129,19,1,1,2,0,10,5,3,5,4,4,4,3,4,1,3,4,3,4,4,5,3,4,3,3,4,4,4,4,5,5,1,5,2,2
130,17,1,1,1,0,3,4,2,4,3,4,4,4,3,2,3,2,3,3,5,2,2,3,2,4,3,4,4,5,1,3,0,0,1,1
131,25,0,0,1,0,8,3,2,5,4,4,5,5,3,1,4,4,5,5,5,3,3,5,3,4,5,3,5,4,1,5,0,0,1,1
132,18,1,0,2,0,1,5,2,5,1,3,3,4,4,2,4,5,3,4,3,1,2,3,1,2,1,1,1,3,1,1,0,0,1,1
133,22,1,1,3,0,10,4,2,4,3,4,4,5,2,1,1,3,2,4,4,3,3,4,3,2,4,4,4,5,3,3,7,10,4,2
134,18,0,1,1,0,7,4,4,3,3,4,5,5,3,3,3,2,3,2,5,2,2,4,3,2,4,5,5,4,1,5,4,8,3,2
135,21,1,1,1,0,9,3,2,4,4,5,3,5,2,1,2,4,3,3,5,3,3,4,2,3,4,1,4,5,1,5,0,0,1,1
136,22,1,1,2,0,5,5,3,5,3,5,5,5,3,1,4,4,5,5,3,4,4,5,4,5,5,4,5,5,2,4,4,12,3,3
137,24,1,0,1,0,0,4,4,2,1,2,2,3,5,1,5,2,4,2,2,1,4,3,1,1,3,1,1,1,1,1,0,0,1,1
138,17,1,1,2,0,6,5,3,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,12,12,5,3
139,23,1,1,2,0,4,4,3,5,2,4,5,5,1,2,4,5,2,3,4,3,5,4,2,2,3,4,2,1,2,5,0,0,1,1
140,18,1,1,2,0,7,5,5,5,5,5,5,5,5,3,4,5,3,5,4,5,5,5,4,4,5,3,4,4,3,4,3,18,3,3
141,20,1,1,3,0,10,5,1,5,5,5,5,5,5,3,3,5,3,5,5,3,5,5,3,5,5,5,5,5,1,5,7,24,4,4
142,18,1,1,2,0,1,4,3,4,4,4,4,5,3,1,4,3,4,4,5,4,2,5,3,4,4,5,4,5,1,5,5,5,3,2
143,18,0,1,2,0,2,5,3,5,4,5,5,5,3,1,2,3,4,4,5,5,2,5,3,4,5,5,5,5,1,5,5,12,3,3
144,20,1,1,2,0,7,4,1,3,3,3,4,5,2,5,5,3,5,4,5,2,3,4,3,2,4,4,5,2,1,2,5,10,3,2
145,19,0,0,2,0,1,5,3,5,5,3,4,4,5,1,2,5,5,5,5,1,3,4,3,5,4,2,5,5,4,5,7,4,4,2
146,22,1,0,2,0,1,2,2,2,1,5,5,4,3,2,3,4,4,4,5,4,5,5,4,2,4,4,4,3,2,4,1,1,2,2
147,20,1,0,1,0,15,4,1,5,3,5,5,5,2,1,4,3,3,4,5,5,5,5,2,5,5,2,3,5,3,5,1,3,2,2